Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.19322308653323E-07,-0.000621172525131026,0.0287431513850053,0,0,0,0.256155900000526,0.000371455539274631,-6.00414159617083E-12,-1.73326843330531E-09,0.000377378872461071,2.08381037201909E-06,0.000587268004008315,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/base_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/base_link.STL,,Robot - General Assembly G2.stp-1/Robot - Base.stp-1/Robot - Base_1.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.00824820162411428,0.0322284212067109,-6.34282331746631E-05,0,0,0,0.273451210728039,0.000179530325565865,1.3903918204087E-05,3.44922289002938E-06,0.000256272682726477,-7.09538071591145E-06,0.000241418657569467,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/link_1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/link_1.STL,,Robot - General Assembly G2.stp-1/Robot - J1 (Assemblage).stp-1/Robot - J1.stp-1;Robot - General Assembly G2.stp-1/Robot - J1 (Assemblage).stp-1/DIG #MG996R.stp-1/DIG #FXX-3037-TOP-ND.stp-1;Robot - General Assembly G2.stp-1/Robot - J1 (Assemblage).stp-1/DIG #MG996R.stp-1/DIG #MG996R - Body.stp-1,Coordinate System1,Axis1,joint_1,revolute,0,0,0.0505,1.5707963267949,0,0,base_link,0,1,0,0,0,-1.5708,1.5708,,,,,,,,
link_2,0.00797843705148053,0.0635886494935242,5.25104837043044E-09,0,0,0,0.201536966586175,0.000253185655576218,-4.03390693499255E-07,-5.17384820965433E-12,3.22285900401755E-05,-2.66432957147263E-11,0.000250682684327915,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/link_2.STL,0.909803921568627,0.443137254901961,0.0313725490196078,1,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/link_2.STL,,Robot - General Assembly G2.stp-1/Robot - J2 (Bras).stp-1/Robot - J2 (RIGHT).stp-1;Robot - General Assembly G2.stp-1/Robot - J2 (Bras).stp-1/DIG #MG996R.stp-1/DIG #FXX-3037-TOP-ND.stp-1;Robot - General Assembly G2.stp-1/Robot - J2 (Bras).stp-1/DIG #MG996R.stp-1/DIG #MG996R - Body.stp-1;Robot - General Assembly G2.stp-1/Robot - J2 (Bras).stp-1/Robot - J2 (LEFT).stp-1,Coordinate System2,Axis2,joint_2,revolute,0,0.0594669,0.0174148,0,0,0,link_1,-1,0,0,0,0,-1.5708,1.5708,,,,,,,,
link_3,0.0282163003588958,0.0404816035860009,-0.00350051850467702,0,0,0,0.137710780574342,6.35917351886021E-05,-1.75104034971782E-06,1.45884951918207E-06,6.01703215941499E-05,3.19113784478666E-06,5.38586862313284E-05,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/link_3.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/link_3.STL,,Robot - General Assembly G2.stp-1/Robot - J3 (Assemblage).stp-1/Robot - J3 (TOP).stp-1;Robot - General Assembly G2.stp-1/Robot - J3 (Assemblage).stp-1/DIG #MG996R.stp-1/DIG #FXX-3037-TOP-ND.stp-1;Robot - General Assembly G2.stp-1/Robot - J3 (Assemblage).stp-1/DIG #MG996R.stp-1/DIG #MG996R - Body.stp-1;Robot - General Assembly G2.stp-1/Robot - J3 (Assemblage).stp-1/M2x0.4 - SH 10.stp-2;Robot - General Assembly G2.stp-1/Robot - J3 (Assemblage).stp-1/M2x0.4 - SH 10.stp-3;Robot - General Assembly G2.stp-1/Robot - J3 (Assemblage).stp-1/M2x0.4 - SH 10.stp-1;Robot - General Assembly G2.stp-1/Robot - J3 (Assemblage).stp-1/M2x0.4 - SH 10.stp-4,Coordinate System3,Axis3,joint_3,revolute,-0.022499999999999,0.119999999999999,0,0,0,0,link_2,1,0,0,0,0,-1.5708,1.5708,,,,,,,,
link_4,0.000191636911516896,0.00367169348265772,0.0687291508356731,0,0,0,0.155606422816449,0.00024749987022931,-3.70790776140508E-07,3.19542851160308E-05,0.00027639462703452,1.48623828979127E-06,5.22555156129629E-05,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/link_4.STL,0.909803921568627,0.443137254901961,0.0313725490196078,1,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/link_4.STL,,Robot - General Assembly G2.stp-1/Robot - J4 & J5 (Assemblage).stp-1/Robot - J4 (Fixture J6).stp-1;Robot - General Assembly G2.stp-1/Robot - J4 & J5 (Assemblage).stp-1/Robot - J4 (ARM).stp-1;Robot - General Assembly G2.stp-1/Robot - J4 & J5 (Assemblage).stp-1/M2x0.4 - SH 10.stp-2;Robot - General Assembly G2.stp-1/M3x0.5 - SH 10.stp-3;Robot - General Assembly G2.stp-1/Robot - J4 & J5 (Assemblage).stp-1/M2x0.4 - SH 10.stp-1,Coordinate System4,Axis4,joint_4,revolute,0.022499999999999,0.0438546912775978,0.018945153472918,0,0,0,link_3,0,0.0246047941163362,0.99969725622635,0,0,-1.5708,1.5708,,,,,,,,
link_5,0.031546874222166,0.00184631091558007,0.0129065135089028,0,0,0,0.0486350175140355,1.71903378477451E-05,1.18783912892287E-07,9.87884930822726E-09,2.04556587500131E-05,5.0934698129758E-08,1.13723748423045E-05,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/link_5.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/link_5.STL,,Robot - General Assembly G2.stp-1/Robot - J6 (Assemblage).stp-1/Robot - J6.stp-1;Robot - General Assembly G2.stp-1/Robot - J6 (Assemblage).stp-1/DIG #1738-1255-ND.stp-2;Robot - General Assembly G2.stp-1/Robot - J6 (Assemblage).stp-1/DIG #1738-1255-ND.stp-1;Robot - General Assembly G2.stp-1/M2x0.4 - SH 10.stp-1,Coordinate System5,Axis5,joint_5,revolute,-0.032499999999997,0.00369544569840125,0.150146630276874,0,0,0,link_4,1,0,0,0,0,-1.5708,1.5708,,,,,,,,
link_6,0.000117769021180253,0.0131887925149061,0.214557633263462,0,0,0,0.0258964206405136,5.43271591303768E-06,1.96242054407672E-08,-5.54500472950147E-09,8.43604248016157E-06,5.05636408023887E-07,4.11283844660635E-06,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/link_6.STL,0.909803921568627,0.443137254901961,0.0313725490196078,1,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/link_6.STL,,Robotic_Arm_Palm_Top-1;Robotic_Arm_Palm-1,Coordinate System6,Axis6,joint_6,revolute,0.032499999999997,-0.00369544569840125,-0.150146630276874,0,0,0,link_5,0,-0.0246047941163458,-0.99969725622635,0,0,-1.5708,1.5708,,,,,,,,
servo,0.000535171623262776,0.0130962540635648,5.75477069585429E-07,0,0,0,0.00771996718963347,5.74227807249738E-07,-5.34859768822222E-08,1.02656416447425E-11,4.64922518160153E-07,-5.5365707358054E-11,8.48933381121995E-07,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/servo.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/servo.STL,,Tower-Pro-MG90S-1,Origin_joint_servo,Axis_joint_servo,joint_servo,fixed,-6.65881523152362E-05,0.0476561432984847,0.217624520577229,1.57079632679487,1.5461890493951,-1.57079632679494,link_6,0,0,0,,,,,,,,,,,,
r_grip,-0.000276286269460812,0.0031006833351761,0.00333436172871027,0,0,0,0.00220581323199052,1.4848823488899E-07,-5.15558491086301E-09,-1.11516422359106E-07,2.88512498946109E-07,-5.28425743402551E-09,1.53884143372302E-07,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/r_grip.STL,0,0,0,1,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/r_grip.STL,,Robotic_Arm_Gear_Arm_Left-1,Coordinate System10,Axis10,r_grip_joint,revolute,0.0142240002751391,0.00541633060441737,0.217444691034626,0,0,0,link_6,0,-0.99969725622635,0.024604794116341,0,0,-0.87,0.75,,,,,,,,
r_EE,-0.00708189490087457,0.00392521195557083,0.0272969871193993,0,0,0,0.00485682440462917,1.2091249577724E-06,5.20915233686251E-09,1.79609697821422E-07,1.2001741419825E-06,-2.8397206303155E-08,1.41130487714215E-07,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/r_EE.STL,0,0,0,1,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/r_EE.STL,,Robotic_Arm_Finger-1,Coordinate System11_,Axis11,j_r_EE,revolute,0.0127023462303652,0.000429578689262522,0.0174538602094602,0,0,0,r_grip,0,0.99969725622635,-0.0246047941163453,0,0,-0.87,0.75,,,,,,,,
l_grip,0.000766483593494001,0.00367177192388501,0.00334497734172745,0,0,0,0.00258929173582169,1.51153170080308E-07,1.66796958884929E-09,1.0937266572257E-07,2.94574467702231E-07,1.50964445735626E-10,1.70040061723379E-07,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/l_grip.STL,0,0,0,1,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/l_grip.STL,,Robotic_Arm_Gear_Arm_Right-1,Coordinate System7,Axis7,j_l_grip,revolute,-0.0142351286667708,0.00541693795963316,0.217469367987394,0,0,0,link_6,0,-0.99969725622635,0.024604794116341,0,0,-0.87,0.75,,,,,,,,
l_EE,0.00711256537236965,0.00377028938502894,0.0272928479295815,0,0,0,0.00485682440466729,1.20872108177372E-06,-3.65985265601331E-09,-1.8084487241349E-07,1.20040193344688E-06,-2.37674351565515E-08,1.41306572255468E-07,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/l_EE.STL,0,0,0,1,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/l_EE.STL,,Robotic_Arm_Finger-2,Coordinate System8,Axis8,j_l_EE,revolute,-0.0128614852656593,0.000426589153362522,0.017332394822563,0,0,0,l_grip,0,-0.99969725622635,0.0246047941163453,0,0,-0.87,0.75,,,,,,,,
grip_l1,0.00628224677406407,0.00341107330695412,0.00853657318797724,0,0,0,0.00113757631345372,4.84800928679872E-08,-7.17283732652608E-10,-2.91433684052959E-08,7.06739461252723E-08,-1.00746025090338E-09,2.97654489102768E-08,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/grip_l1.STL,0,0,0,1,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/grip_l1.STL,,Robotic_Arm_Forward_Hinge_Arm-2,Coordinate System12,Axis12,joint_grip_l1,revolute,0.00444500008598381,0.00593805749014059,0.238642549211804,0,0,0,link_6,0,-0.99969725622635,0.0246047941163353,0,0,-0.87,0.75,,,,,,,,
grip_l2,-0.00635446675964647,0.0034097664763304,0.00848347642224384,0,0,0,0.00113757631345371,4.79886812077394E-08,7.21058053126786E-10,2.9296719732019E-08,7.06742436238729E-08,-9.95372828677488E-10,3.0256563071923E-08,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/grip_l2.STL,0,0,0,1,0,0,0,0,0,0,package://ALVE-XXX ROBOT ARM urdf FINAL/meshes/grip_l2.STL,,Robotic_Arm_Forward_Hinge_Arm-1,Coordinate System9_,Axis9,joint_grip_l2,revolute,-0.004445,0.0059381,0.23864,0,0,0,link_6,0,-0.9997,0.024605,0,0,-0.87,0.75,,,,,,,,
